grnti_id;grnti_name
38.33.19;Геохимия природных вод и рассолов
38.33.21;Геохимия изотопов
38.33.23;Биогеохимия
38.33.25;Органическая геохимия
38.33.27;Абсолютный возраст пород и минералов
38.35.00;Минералогия
38.35.01;Общие вопросы
38.35.15;Физика минералов
38.35.17;Кристаллография минералов
38.35.19;Включения в минералах
38.35.21;Минералы
38.35.23;Геммология
38.35.24;Техническая минералогия
38.35.27;Биоминералогия
38.35.91;Региональная минералогия
38.37.00;Петрография
38.37.01;Общие вопросы
38.37.15;Физические свойства горных пород
38.37.17;Породообразующие минералы
38.37.19;Магматизм и магматические горные породы
38.37.21;Метаморфизм и метаморфические горные породы
38.37.25;Вулканология
38.37.27;Петрография океанических пород и подводный вулканизм
38.37.91;Региональная петрография
38.39.00;Экспериментальная и техническая минералогия и петрография
38.39.01;Общие вопросы
38.39.15;Физико-химические исследования в минералообразующих системах
38.39.17;Синтез и превращение минералов и горных пород
38.39.19;Петрография и минералогия искусственного камня
38.41.00;Методы лабораторных минералого-петрографических и геохимических исследований
38.41.01;Общие вопросы
38.41.15;Подготовка минералов и горных пород к исследованию
38.41.17;Магнитный и квадрупольный резонанс минералов
38.41.19;Оптические методы исследования минералов. Спектроскопия и люмесценция минералов
38.41.21;Рентгеноструктурный анализ минералов
38.41.23;Электронография и электронная микроскопия минералов
38.41.25;Ядерно-физические методы исследования минералов, горных пород, руд
38.41.27;Физико-химические методы исследования минералов, горных пород, руд
38.41.29;Химический метод исследований. Спектральный анализ минералов, горных пород и руд
38.41.31;Методы концентрирования химических элементов
38.41.99;Другие методы исследования
38.45.00;Неотектоника
38.45.01;Общие вопросы
38.45.03;Методы исследований в неотектонике
38.45.15;Современные движения земной коры
38.45.91;Региональная неотектоника
38.47.00;Геоморфология
38.47.01;Общие вопросы
38.47.03;Теория и методы исследований в геоморфологии
38.47.15;Геоморфология суши
38.47.17;Палеогеоморфология
38.47.19;Геоморфология морского дна
38.53.00;Геология месторождений нефти, газа и конденсатов
38.53.01;Общие вопросы
38.53.15;Происхождение нефти и природного газа
38.53.17;Формирование залежей и месторождений нефти, газа и конденсата
38.53.19;Нефтепромысловая геология
38.53.21;Месторождения нефти, газа и конденсата
38.53.23;Геология нефтегазоносных территорий
38.53.25;Геология нефтегазоносных акваторий
38.53.27;Состав и свойства нефти, газа и конденсата
38.53.29;Нефтегазовая гидрогеология
38.53.31;Ресурсы нефти, газа и конденсата
38.57.00;Методы поисков и разведки месторождений полезных ископаемых
38.57.19;Поиски, разведка и оценка месторождений нефти, газа и конденсата
38.57.23;Разведочная геофизика
38.57.25;Геофизические исследования в скважинах
38.59.00;Техника и технология геологоразведочных работ
38.59.01;Общие вопросы
38.59.15;Бурение геологоразведочных скважин
38.59.25;Оборудование морских геологоразведочных работ
38.59.29;Технология морских геологоразведочных работ
38.59.75;Экономика, организация, управление, планирование и прогнозирование буровых и горно-разведочных работа
38.65.00;Мерзлотоведение
38.65.01;Общие вопросы
38.65.03;Методика и техника мерзлотных исследований
38.65.15;Формирование вечно- и сезонномерзлых пород
38.65.17;Механика, теплофизика и физикохимия мерзлых почв, горных пород и льда
38.65.19;Инженерное мерзлотоведение
44.00.00;ЭНЕРГЕТИКА
44.29.00;Электроэнергетика
44.29.01;Общие вопросы
44.29.29;Электроэнергетические системы
44.29.31;Автоматизация и релейная защита в электроэнергетических системах
44.29.33;Электрическая часть электростанций и подстанций
44.29.37;Линии электропередачи, электрические сети
44.29.39;Электроснабжение отраслей народного хозяйства
44.31.00;Теплоэнергетика. Теплотехника
44.31.01;Общие вопросы
44.31.03;Теоретические основы теплотехники
44.31.29;Эксплуатационные и теплотехнические характеристики энергетических топлив
44.31.31;Тепловые электростанции
44.31.33;Геотермические электрические станции и установки
44.31.35;Промышленная теплоэнергетика и теплотехника
44.31.37;Электрические станции и установки, использующие разность температур слоев морской воды
44.31.39;Водородная энергетика
44.31.41;Использование низкотемпературного тепла земли, воды, воздуха
52.00.00;ГОРНОЕ ДЕЛО
52.47.00;Разработка нефтяных и газовых месторождений
52.47.15;Бурение и заканчивание нефтяных и газовых скважин
52.47.17;Исследование нефтяных и газовых пластов и скважин
52.47.19;Разработка нефтяных, газовых и газоконденсатных месторождений
52.47.21;Разработка морских и шельфовых месторождений нефти и газа
52.47.23;Разработка месторождений нефтеносных сланцев, битумов, асфальтов и озокерита
52.47.25;Эксплуатация и ремонт нефтяных и газовых скважин
52.47.27;Методы повышения отдачи нефтяных и газовых пластов
52.47.29;Сбор, первичная обработка, транспортирование и хранение нефти на промыслах
52.47.31;Использование нефтяного газа
52.47.33;Сбор, очистка, транспортирование и хранение газа на промыслах
52.47.97;Коррозия газонефтяного оборудования
55.00.00;МАШИНОСТРОЕНИЕ
55.03.00;Машиноведение и детали машин
55.03.01;Общие вопросы
55.03.03;Прочность и несущая способность узлов и деталей машин
55.03.05;Надежность и долговечность машин
55.03.07;Точность машин и механизмов
55.03.09;Взаимозаменяемость деталей машин
55.03.11;Трение, износ, смазка
55.03.14;Проектирование, конструирование и расчет машин и механизмов
55.03.29;Соединения
55.03.31;Валы и оси
55.03.33;Подшипники
55.03.35;Муфты
55.03.37;Тормоза
55.03.39;Уплотнения
55.03.41;Пружины, демпферы
55.03.43;Корпуса, станины
55.03.45;Передачи
55.03.47;Гидропривод и пневмопривод и их элементы
55.03.99;Прочие детали машин и механизмов
55.09.00;Машиностроительные материалы
55.09.01;Общие вопросы
55.09.03;Выбор конструкционных и инструментальных материалов
55.09.29;Стали
55.09.31;Чугуны
55.09.33;Цветные металлы и сплавы
55.09.35;Керамические, углеродные материалы и стекло
55.09.37;Абразивные и алмазные материалы
55.09.39;Пластмассы. Резина
55.09.41;Древесные материалы
55.09.43;Композиционные материалы
55.09.81;Методы и оборудование для испытания материалов
55.09.99;Прочие неметаллические машиностроительные материалы
55.13.00;Технология машиностроения
55.13.01;Общие вопросы
55.13.15;Технологическая подготовка производства
55.13.17;Технология производства деталей и узлов машин
55.13.99;Другие технологические процессы
55.22.00;Отделка поверхностей и нанесение покрытий
55.22.01;Общие вопросы
55.22.15;Очистка поверхностей
55.22.17;Предварительная отделка поверхностей
55.22.19;Металлические покрытия
55.22.23;Неметаллические покрытия
55.22.25;Временная защита и консервация машиностроительной продукции
55.22.27;Металлорельефы, нанесение рисунка, клеймение, маркировка
55.22.29;Комбинированные и другие покрытия
55.22.31;Обработка поверхностей после нанесения покрытий
55.23.00;Производство изделий из порошковых материалов
55.23.01;Общие вопросы
55.23.09;Порошковые материалы
55.23.13;Прессование, спекание и штамповка изделий из порошковых материалов
55.39.00;Химическое и нефтяное машиностроение
55.39.29;Нефтепромысловое машиностроение
55.39.37;Насосостроение
55.39.39;Компрессоростроение
55.39.43;Криогенное машиностроение
55.24.00;Производство неметаллических изделий
55.24.01;Общие вопросы
55.24.29;Производство пластмассовых изделий
55.24.99;Производство изделий из других материалов
55.33.00;Горное машиностроение
55.33.37;Буровое оборудование
55.39.00;Химическое и нефтяное машиностроение
55.39.01;Общие вопросы
55.39.29;Нефтепромысловое машиностроение
55.39.31;Химическое, нефтехимическое и нефтеперерабатывающее машиностроение
55.39.33;Полимерное машиностроение
55.39.35;Целлюлозно-бумажное машиностроение
55.39.37;Насосостроение
55.39.39;Компрессоростроение
55.39.41;Холодильное машиностроение
55.39.43;Криогенное машиностроение
55.39.45;Арматуростроение
61.00.00;ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ
61.13.00;Процессы и аппараты химической технологии
61.13.15;Гидродинамические процессы
61.13.17;Термокинетические процессы
61.13.19;Диффузионные процессы. Мембранные процессы
61.13.21;Химические процессы
61.13.23;Механические процессы
67.00.00;СТРОИТЕЛЬСТВО. АРХИТЕКТУРА
67.03.00;Инженерно-теоретические основы строительства
67.03.03;Теория расчета сооружений и конструкций
